timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648016063322,192,Refund Policy-0,301,Moved Permanently,Thread Group 1-196,text,true,,359,135,101,101,http://ajkerdeal.com/refundpolicy.aspx,192,0,0
1648016063514,14182,Refund Policy-1,200,OK,Thread Group 1-196,text,true,,111652,139,101,101,https://ajkerdeal.com:443/refundpolicy.aspx,468,0,0
1648016037652,40129,Complain & Suggestion,200,OK,Thread Group 1-176,text,true,,118603,282,100,100,https://ajkerdeal.com:443/customercomplain.aspx,404,0,202
1648016037652,404,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-176,text,true,,363,139,100,100,http://ajkerdeal.com/customercomplain.aspx,404,0,202
1648016038058,39723,Complain & Suggestion-1,200,OK,Thread Group 1-176,text,true,,118240,143,100,100,https://ajkerdeal.com:443/customercomplain.aspx,4040,0,1901
1648016038498,39417,Complain & Suggestion,200,OK,Thread Group 1-28,text,true,,118603,282,100,100,https://ajkerdeal.com:443/customercomplain.aspx,1435,0,1181
1648016038498,1435,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-28,text,true,,363,139,100,100,http://ajkerdeal.com/customercomplain.aspx,1435,0,1181
1648016039934,37981,Complain & Suggestion-1,200,OK,Thread Group 1-28,text,true,,118240,143,100,100,https://ajkerdeal.com:443/customercomplain.aspx,3960,0,2164
1648016069617,8328,Refund Policy,200,OK,Thread Group 1-149,text,true,,112011,274,100,100,https://ajkerdeal.com:443/refundpolicy.aspx,211,0,0
1648016069617,211,Refund Policy-0,301,Moved Permanently,Thread Group 1-149,text,true,,359,135,100,100,http://ajkerdeal.com/refundpolicy.aspx,211,0,0
1648016069829,8116,Refund Policy-1,200,OK,Thread Group 1-149,text,true,,111652,139,100,100,https://ajkerdeal.com:443/refundpolicy.aspx,1170,0,0
1648016063104,14865,Refund Policy,200,OK,Thread Group 1-21,text,true,,112011,274,99,99,https://ajkerdeal.com:443/refundpolicy.aspx,196,0,0
1648016063104,196,Refund Policy-0,301,Moved Permanently,Thread Group 1-21,text,true,,359,135,99,99,http://ajkerdeal.com/refundpolicy.aspx,196,0,0
1648016063301,14668,Refund Policy-1,200,OK,Thread Group 1-21,text,true,,111652,139,99,99,https://ajkerdeal.com:443/refundpolicy.aspx,470,0,0
1648016058346,19687,Complain & Suggestion,200,OK,Thread Group 1-13,text,true,,118603,282,98,98,https://ajkerdeal.com:443/customercomplain.aspx,407,0,193
1648016058346,407,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-13,text,true,,363,139,98,98,http://ajkerdeal.com/customercomplain.aspx,407,0,193
1648016058754,19279,Complain & Suggestion-1,200,OK,Thread Group 1-13,text,true,,118240,143,98,98,https://ajkerdeal.com:443/customercomplain.aspx,12399,0,2697
1648016073940,4175,Refund Policy,200,OK,Thread Group 1-17,text,true,,112011,274,98,98,https://ajkerdeal.com:443/refundpolicy.aspx,529,0,0
1648016073940,529,Refund Policy-0,301,Moved Permanently,Thread Group 1-17,text,true,,359,135,98,98,http://ajkerdeal.com/refundpolicy.aspx,529,0,0
1648016074470,3645,Refund Policy-1,200,OK,Thread Group 1-17,text,true,,111652,139,98,98,https://ajkerdeal.com:443/refundpolicy.aspx,457,0,0
1648016073373,4743,Refund Policy,200,OK,Thread Group 1-43,text,true,,112011,274,98,98,https://ajkerdeal.com:443/refundpolicy.aspx,185,0,0
1648016073373,185,Refund Policy-0,301,Moved Permanently,Thread Group 1-43,text,true,,359,135,98,98,http://ajkerdeal.com/refundpolicy.aspx,185,0,0
1648016073558,4558,Refund Policy-1,200,OK,Thread Group 1-43,text,true,,111652,139,98,98,https://ajkerdeal.com:443/refundpolicy.aspx,559,0,0
1648016070150,8284,Refund Policy,200,OK,Thread Group 1-97,text,true,,112011,274,96,96,https://ajkerdeal.com:443/refundpolicy.aspx,193,0,0
1648016070150,193,Refund Policy-0,301,Moved Permanently,Thread Group 1-97,text,true,,359,135,96,96,http://ajkerdeal.com/refundpolicy.aspx,193,0,0
1648016070343,8091,Refund Policy-1,200,OK,Thread Group 1-97,text,true,,111652,139,96,96,https://ajkerdeal.com:443/refundpolicy.aspx,474,0,0
1648016059472,18991,Refund Policy,200,OK,Thread Group 1-66,text,true,,112011,274,95,95,https://ajkerdeal.com:443/refundpolicy.aspx,671,0,0
1648016059472,671,Refund Policy-0,301,Moved Permanently,Thread Group 1-66,text,true,,359,135,95,95,http://ajkerdeal.com/refundpolicy.aspx,671,0,0
1648016060143,18320,Refund Policy-1,200,OK,Thread Group 1-66,text,true,,111652,139,95,95,https://ajkerdeal.com:443/refundpolicy.aspx,752,0,0
1648016065906,12720,Refund Policy,200,OK,Thread Group 1-132,text,true,,112011,274,94,94,https://ajkerdeal.com:443/refundpolicy.aspx,217,0,0
1648016065906,217,Refund Policy-0,301,Moved Permanently,Thread Group 1-132,text,true,,359,135,94,94,http://ajkerdeal.com/refundpolicy.aspx,217,0,0
1648016066123,12503,Refund Policy-1,200,OK,Thread Group 1-132,text,true,,111652,139,94,94,https://ajkerdeal.com:443/refundpolicy.aspx,449,0,0
1648016053159,25607,Refund Policy,200,OK,Thread Group 1-178,text,true,,112011,274,93,93,https://ajkerdeal.com:443/refundpolicy.aspx,213,0,0
1648016053159,213,Refund Policy-0,301,Moved Permanently,Thread Group 1-178,text,true,,359,135,93,93,http://ajkerdeal.com/refundpolicy.aspx,213,0,0
1648016053372,25394,Refund Policy-1,200,OK,Thread Group 1-178,text,true,,111652,139,93,93,https://ajkerdeal.com:443/refundpolicy.aspx,2803,0,0
1648016055434,23377,Refund Policy,200,OK,Thread Group 1-47,text,true,,112011,274,92,92,https://ajkerdeal.com:443/refundpolicy.aspx,279,0,0
1648016055434,279,Refund Policy-0,301,Moved Permanently,Thread Group 1-47,text,true,,359,135,92,92,http://ajkerdeal.com/refundpolicy.aspx,279,0,0
1648016055713,23098,Refund Policy-1,200,OK,Thread Group 1-47,text,true,,111652,139,92,92,https://ajkerdeal.com:443/refundpolicy.aspx,1863,0,0
1648016058810,20367,Complain & Suggestion,200,OK,Thread Group 1-52,text,true,,118603,282,91,91,https://ajkerdeal.com:443/customercomplain.aspx,3509,0,3304
1648016058810,3509,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-52,text,true,,363,139,91,91,http://ajkerdeal.com/customercomplain.aspx,3509,0,3304
1648016062320,16857,Complain & Suggestion-1,200,OK,Thread Group 1-52,text,true,,118240,143,91,91,https://ajkerdeal.com:443/customercomplain.aspx,3838,0,3229
1648016069361,9953,Refund Policy,200,OK,Thread Group 1-113,text,true,,112011,274,91,91,https://ajkerdeal.com:443/refundpolicy.aspx,241,0,0
1648016069361,241,Refund Policy-0,301,Moved Permanently,Thread Group 1-113,text,true,,359,135,91,91,http://ajkerdeal.com/refundpolicy.aspx,241,0,0
1648016069602,9712,Refund Policy-1,200,OK,Thread Group 1-113,text,true,,111652,139,91,91,https://ajkerdeal.com:443/refundpolicy.aspx,508,0,0
1648016073368,5983,Refund Policy,200,OK,Thread Group 1-181,text,true,,112011,274,90,90,https://ajkerdeal.com:443/refundpolicy.aspx,190,0,0
1648016073368,190,Refund Policy-0,301,Moved Permanently,Thread Group 1-181,text,true,,359,135,90,90,http://ajkerdeal.com/refundpolicy.aspx,190,0,0
1648016073558,5793,Refund Policy-1,200,OK,Thread Group 1-181,text,true,,111652,139,90,90,https://ajkerdeal.com:443/refundpolicy.aspx,2030,0,0
1648016072372,7120,Refund Policy,200,OK,Thread Group 1-147,text,true,,112011,274,89,89,https://ajkerdeal.com:443/refundpolicy.aspx,189,0,0
1648016072372,189,Refund Policy-0,301,Moved Permanently,Thread Group 1-147,text,true,,359,135,89,89,http://ajkerdeal.com/refundpolicy.aspx,189,0,0
1648016072561,6931,Refund Policy-1,200,OK,Thread Group 1-147,text,true,,111652,139,89,89,https://ajkerdeal.com:443/refundpolicy.aspx,455,0,0
1648016062526,17074,Complain & Suggestion,200,OK,Thread Group 1-144,text,true,,118603,282,88,88,https://ajkerdeal.com:443/customercomplain.aspx,1054,0,318
1648016062526,1054,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-144,text,true,,363,139,88,88,http://ajkerdeal.com/customercomplain.aspx,1054,0,318
1648016063581,16019,Complain & Suggestion-1,200,OK,Thread Group 1-144,text,true,,118240,143,88,88,https://ajkerdeal.com:443/customercomplain.aspx,856,0,651
1648016071142,8547,Complain & Suggestion,200,OK,Thread Group 1-153,text,true,,118603,282,88,88,https://ajkerdeal.com:443/customercomplain.aspx,359,0,187
1648016071142,359,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-153,text,true,,363,139,88,88,http://ajkerdeal.com/customercomplain.aspx,359,0,187
1648016071503,8186,Complain & Suggestion-1,200,OK,Thread Group 1-153,text,true,,118240,143,88,88,https://ajkerdeal.com:443/customercomplain.aspx,4895,0,2250
1648016059676,20016,Refund Policy,200,OK,Thread Group 1-30,text,true,,112011,274,88,88,https://ajkerdeal.com:443/refundpolicy.aspx,755,0,0
1648016059676,755,Refund Policy-0,301,Moved Permanently,Thread Group 1-30,text,true,,359,135,88,88,http://ajkerdeal.com/refundpolicy.aspx,755,0,0
1648016060432,19260,Refund Policy-1,200,OK,Thread Group 1-30,text,true,,111652,139,88,88,https://ajkerdeal.com:443/refundpolicy.aspx,474,0,0
1648016027858,51907,Complain & Suggestion,200,OK,Thread Group 1-110,text,true,,118603,282,87,87,https://ajkerdeal.com:443/customercomplain.aspx,823,0,183
1648016027858,823,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-110,text,true,,363,139,87,87,http://ajkerdeal.com/customercomplain.aspx,823,0,183
1648016028682,51083,Complain & Suggestion-1,200,OK,Thread Group 1-110,text,true,,118240,143,87,87,https://ajkerdeal.com:443/customercomplain.aspx,6867,0,4611
1648016072323,7688,Refund Policy,200,OK,Thread Group 1-191,text,true,,112011,274,87,87,https://ajkerdeal.com:443/refundpolicy.aspx,189,0,0
1648016072323,189,Refund Policy-0,301,Moved Permanently,Thread Group 1-191,text,true,,359,135,87,87,http://ajkerdeal.com/refundpolicy.aspx,189,0,0
1648016072513,7498,Refund Policy-1,200,OK,Thread Group 1-191,text,true,,111652,139,87,87,https://ajkerdeal.com:443/refundpolicy.aspx,459,0,0
1648016069746,10304,Complain & Suggestion,200,OK,Thread Group 1-24,text,true,,118603,282,86,86,https://ajkerdeal.com:443/customercomplain.aspx,376,0,182
1648016069746,376,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-24,text,true,,363,139,86,86,http://ajkerdeal.com/customercomplain.aspx,376,0,182
1648016070123,9927,Complain & Suggestion-1,200,OK,Thread Group 1-24,text,true,,118240,143,86,86,https://ajkerdeal.com:443/customercomplain.aspx,2135,0,1947
1648016067362,12736,Refund Policy,200,OK,Thread Group 1-64,text,true,,112011,274,86,86,https://ajkerdeal.com:443/refundpolicy.aspx,199,0,0
1648016067362,199,Refund Policy-0,301,Moved Permanently,Thread Group 1-64,text,true,,359,135,86,86,http://ajkerdeal.com/refundpolicy.aspx,199,0,0
1648016067561,12537,Refund Policy-1,200,OK,Thread Group 1-64,text,true,,111652,139,86,86,https://ajkerdeal.com:443/refundpolicy.aspx,492,0,0
1648016062692,17545,Refund Policy,200,OK,Thread Group 1-108,text,true,,112011,274,85,85,https://ajkerdeal.com:443/refundpolicy.aspx,210,0,0
1648016062692,210,Refund Policy-0,301,Moved Permanently,Thread Group 1-108,text,true,,359,135,85,85,http://ajkerdeal.com/refundpolicy.aspx,210,0,0
1648016062902,17335,Refund Policy-1,200,OK,Thread Group 1-108,text,true,,111652,139,85,85,https://ajkerdeal.com:443/refundpolicy.aspx,463,0,0
1648016049283,31013,Refund Policy,200,OK,Thread Group 1-117,text,true,,112011,274,84,84,https://ajkerdeal.com:443/refundpolicy.aspx,330,0,0
1648016049283,330,Refund Policy-0,301,Moved Permanently,Thread Group 1-117,text,true,,359,135,84,84,http://ajkerdeal.com/refundpolicy.aspx,330,0,0
1648016049613,30683,Refund Policy-1,200,OK,Thread Group 1-117,text,true,,111652,139,84,84,https://ajkerdeal.com:443/refundpolicy.aspx,1364,0,0
1648016074396,5935,Refund Policy,200,OK,Thread Group 1-143,text,true,,112011,274,83,83,https://ajkerdeal.com:443/refundpolicy.aspx,338,0,0
1648016074396,338,Refund Policy-0,301,Moved Permanently,Thread Group 1-143,text,true,,359,135,83,83,http://ajkerdeal.com/refundpolicy.aspx,338,0,0
1648016074734,5597,Refund Policy-1,200,OK,Thread Group 1-143,text,true,,111652,139,83,83,https://ajkerdeal.com:443/refundpolicy.aspx,658,0,0
1648016042172,38226,Complain & Suggestion,200,OK,Thread Group 1-190,text,true,,118603,282,82,82,https://ajkerdeal.com:443/customercomplain.aspx,1418,0,1224
1648016042172,1418,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-190,text,true,,363,139,82,82,http://ajkerdeal.com/customercomplain.aspx,1418,0,1224
1648016043591,36807,Complain & Suggestion-1,200,OK,Thread Group 1-190,text,true,,118240,143,82,82,https://ajkerdeal.com:443/customercomplain.aspx,4197,0,726
1648016075827,4586,Refund Policy,200,OK,Thread Group 1-74,text,true,,112011,274,82,82,https://ajkerdeal.com:443/refundpolicy.aspx,240,0,0
1648016075827,240,Refund Policy-0,301,Moved Permanently,Thread Group 1-74,text,true,,359,135,82,82,http://ajkerdeal.com/refundpolicy.aspx,240,0,0
1648016076067,4346,Refund Policy-1,200,OK,Thread Group 1-74,text,true,,111652,139,82,82,https://ajkerdeal.com:443/refundpolicy.aspx,254,0,0
1648016075598,4910,Refund Policy,200,OK,Thread Group 1-151,text,true,,112011,274,81,81,https://ajkerdeal.com:443/refundpolicy.aspx,242,0,0
1648016075598,242,Refund Policy-0,301,Moved Permanently,Thread Group 1-151,text,true,,359,135,81,81,http://ajkerdeal.com/refundpolicy.aspx,242,0,0
1648016075840,4668,Refund Policy-1,200,OK,Thread Group 1-151,text,true,,111652,139,81,81,https://ajkerdeal.com:443/refundpolicy.aspx,452,0,0
1648016074271,6316,Refund Policy,200,OK,Thread Group 1-59,text,true,,112011,274,80,80,https://ajkerdeal.com:443/refundpolicy.aspx,314,0,0
1648016074271,314,Refund Policy-0,301,Moved Permanently,Thread Group 1-59,text,true,,359,135,80,80,http://ajkerdeal.com/refundpolicy.aspx,314,0,0
1648016074585,6002,Refund Policy-1,200,OK,Thread Group 1-59,text,true,,111652,139,80,80,https://ajkerdeal.com:443/refundpolicy.aspx,505,0,0
1648016038881,41929,Complain & Suggestion,200,OK,Thread Group 1-98,text,true,,118603,282,79,79,https://ajkerdeal.com:443/customercomplain.aspx,936,0,220
1648016038881,936,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-98,text,true,,363,139,79,79,http://ajkerdeal.com/customercomplain.aspx,936,0,220
1648016039818,40992,Complain & Suggestion-1,200,OK,Thread Group 1-98,text,true,,118240,143,79,79,https://ajkerdeal.com:443/customercomplain.aspx,9358,0,3721
